Company Name,Yahoo Ticker
Arion banki hf.,ARION-SDB.ST
Recipharm AB,RECI-B.ST
Adapteo Oyj,ADAPT.ST
Castellum AB,CAST.ST
SAAB AB,SAAB-B.ST
Edgeware AB,EDGE.ST
AddLife AB,ALIF-B.ST
Swedbank AB,SWED-A.ST
Lagercrantz Group AB,LAGR-B.ST
Addtech AB,ADDT-B.ST
Elekta AB,EKTA-B.ST
Lauritz.com A/S,LAUR.ST
Strax AB,STRAX.ST
Karnov Group AB,KAR.ST
Medivir AB,MVIR-B.ST
Ferronordic AB,FNM.ST
Internationella Engelska Skolan i Sverige Holdings II AB,ENG.ST
NeuroVive Pharmaceutical AB,NVP.ST
Catena Media P.L.C,CTM.ST
Oncopeptides AB,ONCO.ST
Moberg Pharma AB,MOB.ST
SSM Holding AB,SSM.ST
Arctic Paper AB,ARP.ST
Baltic Horizon Fund / Northern Horizon Capital,NHCBHFFS.ST
Cantargia AB,CANTA.ST
Etrion Corporation,ETX.ST
Bong AB,BONG.ST
Karo Pharma AB,KARO.ST
Jetpak Top Holding AB,JETPAK.ST
RaySearch Laboratories AB,RAY-B.ST
Opus Group AB,OPUS.ST
Catella AB,CAT-B.ST
Calliditas Therapeutics AB,CALTX.ST
Africa Oil Corp.,AOI.ST
SinterCast AB,SINT.ST
Lundin Gold Inc.,LUG.ST
Immunovia AB,IMMNOV.ST
Humana AB,HUM.ST
Arise AB,ARISE.ST
Vicore Pharma Holding AB,VICO.ST
Ascelia Pharma AB,ACE.ST
Eastnine AB,EAST.ST
Mekonomen AB,MEKO.ST
Cavotec SA,CCC.ST
Camurus AB,Camurus AB
Ambea AB,AMBEA.ST
Troax Group AB,TROAX.ST
Instalco Instressenter AB,INSTAL.ST
Hufvudstaden AB,HUFV-A.ST
Endomines AB,ENDO.ST
Viking Supply Ships AB,VSSAB-B.ST
Leax Group AB,no
DDM Debt AB (publ),DDM.ST
John Mattson Fastighetsföretagen AB,JOMA.ST
LeoVegas AB,LEO.ST
Better Collective A/S,BETCO.ST
TradeDoubler AB,TRAD.ST
Bonesupport Holding AB,BONEX.ST
Eltel AB,ELTEL.ST
Skanska AB,SKA-B.ST
Coor Service Management Holding AB,COOR.ST
Q-Linea AB,QLINEA.ST
Bactiguard Holding AB,BACTI-B.ST
Railcare Group AB,RAIL.ST
Garo AB,GARO.ST
New Wave Group AB,NEWA-B.ST
Vitrolife AB,VITR.ST
Gunnebo AB,GUNN.ST
Securitas AB,SECU-B.ST
Concentric AB,COIC.ST
Medicover AB,MCOV-B.ST
Actic Group AB,ATIC.ST
NCAB Group AB,NCAB.ST
Bravida Holding AB,BRAV.ST
Scandi Standard AB,SCST.ST
Josemaria Resources Inc.,JOSE.ST
Hanza Holding AB,HANZA.ST
"Latour, Investmentab.",LATO-B.ST
Biotage AB,BIOT.ST
Starbreeze AB,STAR-B.ST
Tethys Oil AB,TETY.ST
G5 Entertainment AB,G5EN.ST
International Petroleum Corporation,IPCO.ST
EQT AB,EQT.ST
Hoist Finance AB,HOFI.ST
Lucara Diamond Corp,LUC.ST
Semafo Inc.,SMF.ST
Loomis AB,LOOM-B.ST
Projektengagemang Sweden AB,PENG-B.ST
Swedish Orphan Biovitrum AB,SOBI.ST
Nordic Waterproofing Holding A/S,NWG.ST
Hansa Biopharma AB,HNSA.ST
Bergs Timber AB,BRG-B.ST
Hexagon AB,HEXA-B.ST
Eniro AB,ENRO.ST
FM Mattsson Mora Group AB,FMM-B.ST
Stora Enso Oyj,STE-R.ST
Modern Times Group MTG AB,MTG-B.ST
Resurs Holding AB,RESURS.ST
Bygghemma First Holding AB,BHG.ST
Beijer Electronics Group AB,BELE.ST
NCC AB,NCC-B.ST
Invisio Communications AB,IVSO.ST
Pricer AB,PRIC-B.ST
Autoliv Inc.,ALIV-SDB.ST
"Fagerhult, AB",FAG.ST
Addnode Group AB,ANOD-B.ST
Moment Group AB,MMGR-B.ST
Episurf Medical AB,EPIS-B.ST
Swedish Match AB,SWMA.ST
Probi AB,PROB.ST
Cloetta AB,CLA-B.ST
Catena AB,CATE.ST
Magnolia Bostad AB,MAG.ST
Fastighets AB Balder,BALD-B.ST
Indutrade AB,INDT.ST
Epiroc Aktiebolag,EPI-A.ST
Kindred Group plc,KIND-SDB.ST
SWECO AB,SWEC-B.ST
Essity AB,ESSITY-B.ST
Hembla AB,HEM-B.ST
Diös Fastigheter AB,DIOS.ST
Nordea Bank Abp,NDA-SE.ST
Sagax AB,SAGA-B.ST
Elos AB,ELOS-B.ST
Bulten AB,BULTEN.ST
HEXPOL AB,HPOL-B.ST
BioInvent International AB,BINV.ST
AAK AB,AAK.ST
Alligator Bioscience AB,ATORX.ST
Orexo AB,ORX.ST
Peab AB,PEAB-B.ST
AQ Group AB,AQ.ST
Mycronic AB,MYCR.ST
Attendo AB,ATT.ST
JM AB,JM.ST
Dometic Group AB,DOM.ST
AstraZeneca PLC,AZN.ST
BioArctic AB,BIOA-B.ST
Semcon AB,SEMC.ST
Handicare Group AB,HANDI.ST
Munters Group AB,MTRS.ST
Trelleborg AB,TREL-B.ST
BE Group AB,BEGR.ST
Volati AB,VOLO.ST
Boliden AB,BOL.ST
HiQ International AB,HIQ.ST
Wihlborgs Fastigheter AB,WIHL.ST
TOBII AB,TOBII.ST
NetEnt AB,NET-B.ST
Scandic Hotels Group AB,SHOT.ST
Evolution Gaming Group AB,EVO.ST
Xvivo Perfusion AB,XVIVO.ST
Alfa Laval AB,ALFA.ST
Nordic Entertainment Group AB,NENT-B.ST
Haldex AB,HLDX.ST
Axfood AB,AXFO.ST
ICA Gruppen AB,ICA.ST
Pandox AB,PNDX-B.ST
TF Bank,TFBANK.ST
BillerudKorsnäs AB,BILL.ST
Lundin Mining Corporation,LUMI.ST
Millicom International Cellular S.A.,TIGO-SDB.ST
Nolato AB,NOLA-B.ST
Rejlers AB,REJL-B.ST
Nobia AB,NOBI.ST
Veoneer Inc.,VNE-SDB.ST
Lifco AB,LIFCO-B.ST
Alimak Group,ALIG.ST
Midsona AB,Midsona 
Inwido AB,INWI.ST
SSAB AB,SSAB-B.ST
Nyfosa AB,NYF.ST
Bonava AB,BONAV-B.ST
Enea AB,ENEA.ST
Intrum,INTRUM.ST
Svenska Handelsbanken AB,SHB-A.ST
Kungsleden AB,KLED.ST
ABB Ltd,ABB.ST
ProfilGruppen AB,PROF-B.ST
Arjo AB,ARJO-B.ST
"SKF, AB",SKF-B.ST
Studsvik AB,SVIK.ST
eWork Group AB,EWRK.ST
NOTE AB,NOTE.ST
Beijer Ref AB,BEIJ-B.ST
Husqvarna AB,HUSQ-B.ST
Qliro Group AB,QLRO.ST
Rottneros AB,RROS.ST
Wallenstam AB,WALL-B.ST
Sportamore AB,SPOR.ST
Atlas Copco AB,ATCO-A.ST
Byggmax Group AB,BMAX.ST
Fabege AB,FABG.ST
Sandvik AB,SAND.ST
OEM International AB,OEM-B.ST
Investor AB,INVE-B.ST
Getinge AB,GETI-B.ST
ASSA ABLOY AB,ASSA-B.ST
DUNI AB,DUNI.ST
"Volvo, AB",VOLV-B.ST
Vitec Software Group AB,VIT-B.ST
Nederman Holding AB,NMAN.ST
"Ericsson, Telefonab. L M",ERIC-B.ST
Telia Company AB,TELIA.ST
Tele2 AB,TEL2-B.ST
"Hennes & Mauritz AB, H & M",HM-B.ST
Nobina AB,NOBINA.ST
Clas Ohlson AB,CLAS-B.ST
SECTRA AB,SECT-B.ST
SAS AB,SAS.ST
BioGaia AB,BIOG-B.ST
Collector AB,COLL.ST
Eolus Vind AB,EOLU-B.ST
MQ Holding AB,MQ.ST
Agromino A/S,AGRO.ST
Balco Group AB,BALCO.ST
Boozt AB,BOOZT.ST
Holmen AB,HOLM-B.ST
AcadeMedia AB,ACAD.ST
Gaming Innovation Group Inc.,GIGSEK.ST
MIPS AB,MIPS.ST
Lime Technologies AB,LIME.ST
"Electrolux, AB",ELUX-B.ST
Thule Group AB,THULE.ST
Gränges,GRNG.ST
Bure Equity AB,BURE.ST
Platzer Fastigheter Holding AB,PLAZ-B.ST
GHP Specialty Care AB,GHP.ST
Serneke Group AB,SRNKE-B.ST
Avanza Bank Holding AB,AZA.ST
